Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (P)	Cumulative Profit/Loss (P)	FlatToFlat Profit/Loss (P)	FlatToFlat Max Open Profit (P)	FlatToFlat Max Open Loss (P)	Max Open Profit (P)	Max Open Loss (P)	Entry Efficiency	Exit Efficiency	Total Efficiency	Commission (C)	High Price While Open	Low Price While Open	Note	Open Position Quantity	Close Position Quantity	Duration	Account
[Sim]ESU3.CME	Short	2023-08-16  13:44:52.326	2023-08-16  13:46:56.139 EP	4443.25	4444.75	3	5	5	-4.66	43.86	-7.77 F	1.25	-7.50	0.75	-4.50	100.0%	32.5%	-53.3%	7.98	4444.75	4443.00	2Targets5c_3out_2run.twconfig	5	0	00:02:03	Sim1
[Sim]ESU3.CME	Short	2023-08-16  14:10:43.506 BP	2023-08-16  14:11:02.073	4435.50	4433.25	2	5	2	4.39	48.25	4.39	4.50	-1.50	4.50	-1.50	100.0%	98.2%	73.2%	5.32	4436.25	4433.25	2Targets5c_3out_2run.twconfig	2	3	00:00:18	Sim1
[Sim]ESU3.CME	Short	2023-08-16  14:10:43.506	2023-08-16  14:11:02.073	4435.50	4433.25	1	5	3	2.20	50.45	6.59	6.75	-2.25	2.25	-0.75	100.0%	49.4%	24.4%	2.66	4436.25	4433.25	2Targets5c_3out_2run.twconfig	5	2	00:00:18	Sim1
[Sim]ESU3.CME	Short	2023-08-16  14:10:43.506	2023-08-16  14:11:26.026 EP	4435.50	4435.25	2	5	5	0.39	50.84	6.98 F	13.25	-3.75	6.50	-1.50	100.0%	24.4%	2.3%	5.32	4436.25	4432.25	2Targets5c_3out_2run.twconfig	5	0	00:00:42	Sim1
[Sim]ESU3.CME	Long	2023-08-16  14:13:01.246 BP	2023-08-16  14:13:28.596	4435.25	4437.50	2	5	2	4.39	55.23	4.39	4.50	-1.00	4.50	-1.00	100.0%	98.1%	79.9%	5.32	4437.50	4434.75	2Targets5c_3out_2run.twconfig	2	3	00:00:27	Sim1
[Sim]ESU3.CME	Long	2023-08-16  14:13:01.246	2023-08-16  14:13:28.596	4435.25	4437.50	1	5	3	2.20	57.43	6.59	6.75	-1.50	2.25	-0.50	100.0%	44.8%	26.6%	2.66	4437.50	4434.75	2Targets5c_3out_2run.twconfig	5	2	00:00:27	Sim1
[Sim]ESU3.CME	Long	2023-08-16  14:13:01.246	2023-08-16  14:15:01.663 EP	4435.25	4435.50	2	5	5	0.39	57.82	6.98 F	13.25	-2.50	6.50	-1.00	100.0%	18.4%	2.5%	5.32	4438.50	4434.75	2Targets5c_3out_2run.twconfig	5	0	00:02:00	Sim1
[Sim]ESU3.CME	Long	2023-08-16  14:15:56.227 BP	2023-08-16  14:17:25.326	4439.25	4441.50	2	5	2	4.39	62.22	4.39	4.50	-3.00	4.50	-3.00	100.0%	98.6%	58.6%	5.32	4441.50	4437.75	2Targets5c_3out_2run.twconfig	2	3	00:01:29	Sim1
[Sim]ESU3.CME	Long	2023-08-16  14:15:56.227	2023-08-16  14:17:25.326	4439.25	4441.50	1	5	3	2.20	64.41	6.59	6.75	-4.50	2.25	-1.50	100.0%	59.5%	19.5%	2.66	4441.50	4437.75	2Targets5c_3out_2run.twconfig	5	2	00:01:29	Sim1
[Sim]ESU3.CME	Long	2023-08-16  14:15:56.227	2023-08-16  14:22:55.217 EP	4439.25	4450.00	2	5	5	21.39	85.81	27.98 F	31.25	-7.50	24.50	-3.00	100.0%	74.6%	55.2%	5.32	4451.50	4437.75	2Targets5c_3out_2run.twconfig	5	0	00:06:58	Sim1
[Sim]ESU3.CME	Short	2023-08-16  14:41:24.753 BP	2023-08-16  14:42:29.199	4448.75	4446.50	2	5	2	4.39	90.20	4.39	4.50	-0.50	4.50	-0.50	100.0%	97.9%	87.9%	5.32	4449.00	4446.50	2Targets5c_3out_2run.twconfig	2	3	00:01:04	Sim1
[Sim]ESU3.CME	Short	2023-08-16  14:41:24.753	2023-08-16  14:42:29.199	4448.75	4446.50	1	5	3	2.20	92.40	6.59	6.75	-0.75	2.25	-0.25	100.0%	39.3%	29.3%	2.66	4449.00	4446.50	2Targets5c_3out_2run.twconfig	5	2	00:01:04	Sim1
[Sim]ESU3.CME	Short	2023-08-16  14:41:24.753	2023-08-16  14:52:35.857 EP	4448.75	4441.00	2	5	5	15.39	107.79	21.98 F	29.25	-1.25	22.50	-0.50	100.0%	54.6%	50.5%	5.32	4449.00	4437.50	2Targets5c_3out_2run.twconfig	5	0	00:11:11	Sim1
[Sim]ESU3.CME	Long	2023-08-16  15:31:49.747 BP	2023-08-16  15:33:45.137	4426.00	4428.25	2	5	2	4.39	112.19	4.39	4.50	-1.50	4.50	-1.50	100.0%	98.2%	73.2%	5.32	4428.25	4425.25	2Targets5c_3out_2run.twconfig	2	3	00:01:55	Sim1
[Sim]ESU3.CME	Long	2023-08-16  15:31:49.747	2023-08-16  15:33:45.137	4426.00	4428.25	1	5	3	2.20	114.38	6.59	6.75	-2.25	2.25	-0.75	100.0%	49.4%	24.4%	2.66	4428.25	4425.25	2Targets5c_3out_2run.twconfig	5	2	00:01:55	Sim1
[Sim]ESU3.CME	Long	2023-08-16  15:31:49.747	2023-08-16  15:38:36.718 EP	4426.00	4425.00	2	5	5	-2.11	112.28	4.48 F	14.75	-4.25	8.00	-2.00	100.0%	11.3%	-11.1%	5.32	4430.00	4425.00	2Targets5c_3out_2run.twconfig	5	0	00:06:46	Sim1
[Sim]ESU3.CME	Short	2023-08-17  09:52:05.777 BP	2023-08-17  09:54:33.753	4425.00	4422.75	2	5	2	4.39	116.67	4.39	5.00	-2.00	5.00	-2.00	100.0%	91.3%	62.8%	5.32	4426.00	4422.50	2Targets5c_3out_2run.twconfig	2	3	00:02:27	Sim1
[Sim]ESU3.CME	Short	2023-08-17  09:52:05.777	2023-08-17  09:54:33.753	4425.00	4422.75	1	5	3	2.20	118.87	6.59	7.50	-3.00	2.50	-1.00	100.0%	49.5%	20.9%	2.66	4426.00	4422.50	2Targets5c_3out_2run.twconfig	5	2	00:02:27	Sim1
[Sim]ESU3.CME	Short	2023-08-17  09:52:05.777	2023-08-17  09:56:26.283 EP	4425.00	4421.75	2	5	5	6.39	125.26	12.98 F	17.50	-5.00	10.00	-2.00	100.0%	50.6%	28.4%	5.32	4426.00	4420.00	2Targets5c_3out_2run.twconfig	5	0	00:04:20	Sim1
[Sim]ESU3.CME	Long	2023-08-17  09:56:35.793 BP	2023-08-17  09:56:43.863	4424.00	4426.50	2	5	2	4.89	130.15	4.89	5.00	0.00	5.00	0.00	100.0%	97.9%	97.9%	5.32	4426.50	4424.00	2Targets5c_3out_2run.twconfig	2	3	00:00:08	Sim1
[Sim]ESU3.CME	Long	2023-08-17  09:56:35.793	2023-08-17  09:56:43.863	4424.00	4426.50	1	5	3	2.45	132.60	7.34	7.50	0.00	2.50	0.00	100.0%	32.6%	32.6%	2.66	4426.50	4424.00	2Targets5c_3out_2run.twconfig	5	2	00:00:08	Sim1
[Sim]ESU3.CME	Long	2023-08-17  09:56:35.793	2023-08-17  10:04:36.579	4424.00	4424.00	2	3	5	-0.11	132.49	7.23	16.50	-0.50	9.00	-0.50	100.0%	2.3%	-0.6%	5.32	4428.50	4423.75	2Targets5c_3out_2run.twconfig	5	1	00:08:00	Sim1
[Sim]ESU3.CME	Long	2023-08-17  10:04:07.547	2023-08-17  10:05:37.775 EP	4427.00	4423.50	1	3	3	-3.55	128.94	3.68 F	16.50	-4.00	0.00	-3.50	31.6%	2.2%	-17.3%	2.66	4427.00	4423.50	SimpleBracket.twconfig	3	0	00:01:30	Sim1
[Sim]ESU3.CME	Long	2023-08-17  10:07:03.586 BP	2023-08-17  10:12:36.406	4427.00	4423.50	2	5	2	-7.11	121.83	-7.11	3.50	-7.50	3.50	-7.50	100.0%	3.6%	-64.6%	5.32	4428.75	4423.25	2Targets5c_3out_2run.twconfig	2	3	00:05:32	Sim1
[Sim]ESU3.CME	Long	2023-08-17  10:07:03.586	2023-08-17  10:12:36.406 EP	4427.00	4423.50	3	5	5	-10.66	111.17	-17.77 F	8.75	-18.75	5.25	-11.25	100.0%	29.4%	-38.8%	7.98	4428.75	4423.25	2Targets5c_3out_2run.twconfig	5	0	00:05:32	Sim1
[Sim]ESU3.CME	Long	2023-08-17  10:14:32.038 BP	2023-08-17  10:15:37.312	4423.00	4425.50	2	5	2	4.89	116.07	4.89	5.50	-0.50	5.50	-0.50	100.0%	89.9%	81.6%	5.32	4425.75	4422.75	2Targets5c_3out_2run.twconfig	2	3	00:01:05	Sim1
